Question,Answer
नमस्ते,स्मार्ट किसान चैटबॉट में आपका स्वागत है।
आपका नाम क्या है?,मैं स्मार्ट किसान चैटबॉट हूँ।
आप कैसे हैं?,मैं ठीक हूँ और आपकी सहायता के लिए तैयार हूँ।
मैं पंजीकरण कैसे करूँ?,रजिस्टर किसान पेज पर जाकर जानकारी भरें।
लॉगिन कैसे करें?,यूज़रनेम और पासवर्ड का उपयोग करें।
फसल की कीमत कैसे देखें?,क्रॉप प्राइस सेक्शन देखें।
जैविक खेती क्या है?,जैविक खेती में प्राकृतिक तरीकों का उपयोग किया जाता है।
सिंचाई क्या है?,फसलों को पानी देने की प्रक्रिया सिंचाई है।
ड्रिप सिंचाई क्या है?,पानी सीधे जड़ों तक पहुँचाया जाता है।
उर्वरक क्या हैं?,उर्वरक पौधों को पोषण देते हैं।
कीटनाशक क्या हैं?,कीटनाशक फसलों को कीटों से बचाते हैं।
कम्पोस्ट क्या है?,कम्पोस्ट जैविक खाद है।
मिट्टी परीक्षण क्या है?,मिट्टी में पोषक तत्वों की जाँच।
खरपतवार नियंत्रण कैसे करें?,मल्चिंग या खरपतवारनाशक का उपयोग करें।
ग्रीनहाउस खेती क्या है?,नियंत्रित वातावरण में खेती।
फसल बीमा क्या है?,फसल नुकसान से सुरक्षा प्रदान करता है।
गर्मी में कौन सी फसल अच्छी है?,धान मक्का कपास और सब्जियाँ।
सर्दी में कौन सी फसल अच्छी है?,गेहूँ सरसों और सब्जियाँ।
सरकारी योजनाएँ कौन सी हैं?,सरकारी योजनाओं के अनुभाग को देखें।
सहायता से संपर्क कैसे करें?,support@farmerportal.com पर ईमेल करें।
धन्यवाद,आपका स्वागत है।
अलविदा,आपका दिन शुभ हो।
